"index","Name","CID"
"0","UK","0"
"1","USA","1"
"2","India","2"
"3","Australia","3"
"4","Hong Kong","4"
"5","Germany","5"
"6","Canada","6"
"7","Denmark","7"
"8","Belgium","8"
"9","South Korea","9"
"10","China","10"
"11","Argentina","11"
"12","Libya","12"
"13","Switzerland","13"
"14","Netherlands","14"
"15","France","15"
"16","Pakistan","16"
"17","Japan","17"
"18","Sri Lanka","18"
"19","United Arab Emirates","19"
"20","Bhutan","20"
"21","Soviet Union","21"
"22","Iceland","22"
"23","Afghanistan","23"
"24","South Africa","24"
"25","Egypt","25"
"26","Hungary","26"
"27","Iran","27"
"28","Suriname","28"
"29","Sweden","29"
"30","Spain","30"
"31","Italy","31"
"32","New Zealand","32"
"33","Georgia","33"
