"index","Name","GID"
"0","Adventure, Drama, Fantasy","0"
"1","Action, Comedy, Crime","1"
"2","Action, Adventure, Fantasy","2"
"3","Action, Adventure, Sci-Fi","3"
"4","Drama, Horror, Thriller","4"
"5","Drama, Romance","5"
"6","Comedy, Crime, Thriller","6"
"7","Biography, Drama","7"
"8","Comedy, Drama, Family","8"
"9","Action, Sci-Fi, Thriller","9"
"10","Comedy","10"
"11","Drama, Sci-Fi","11"
"12","Action, Thriller","12"
"13","Action, Comedy, Sci-Fi","13"
"14","Comedy, Horror","14"
"15","Action, Adventure","15"
"16","Comedy, Drama","16"
"17","Crime, Drama, History","17"
"18","Adventure, Comedy, Drama","18"
"19","Drama","19"
"20","Comedy, Drama, Romance","20"
"21","Action, Biography, Drama","21"
"22","Romance","22"
"23","Action, Comedy, Drama","23"
"24","Drama, Romance, Sci-Fi","24"
"25","Adventure, Comedy","25"
"26","Drama, Family","26"
"27","Action, Drama, History","27"
"28","Comedy, Drama, Fantasy","28"
"29","Adventure, Biography, Drama","29"
"30","Action, Adventure, Thriller","30"
"31","Crime, Drama, Romance","31"
"32","Biography, Drama, History","32"
"33","Biography, Comedy, Drama","33"
"34","Drama, Thriller","34"
"35","Action, Drama, Mystery","35"
"36","Action, Adventure, Comedy","36"
"37","Adventure, Drama, Thriller","37"
"38","Drama, History, Romance","38"
"39","Action, Drama, Thriller","39"
"40","Comedy, Romance","40"
"41","Adventure, Drama, Musical","41"
"42","Action, Crime, Thriller","42"
"43","Crime, Drama, Mystery","43"
"44","Action, Drama, Fantasy","44"
"45","Drama, History, Sport","45"
"46","Action, Drama","46"
"47","Biography, Drama, Sport","47"
"48","Action, Drama, Sport","48"
"49","Comedy, Drama, Musical","49"
"50","Crime, Drama, Thriller","50"
"51","Adventure, Drama, History","51"
"52","Drama, Musical, Romance","52"
"53","Crime, Thriller","53"
"54","Action, Crime, Drama","54"
"55","Crime, Drama","55"
"56","Biography, Crime, Drama","56"
"57","Mystery, Thriller","57"
"58","Action, Drama, Romance","58"
"59","Animation, Adventure, Comedy","59"
"60","Drama, Family, Romance","60"
"61","Biography, Sport","61"
"62","Drama, History","62"
"63","Drama, Music, Musical","63"
"64","Drama, Music","64"
"65","Action, Comedy, Romance","65"
"66","Horror","66"
"67","Action, Drama, Musical","67"
"68","Drama, Mystery, Thriller","68"
"69","Action, Adventure, Romance","69"
"70","Drama, War","70"
"71","Drama, Family, Musical","71"
"72","Action, Comedy","72"
"73","Comedy, Drama, Music","73"
"74","Action, Biography, Crime","74"
"75","Drama, Sport","75"
"76","Comedy, Thriller","76"
