"index","MID","PID","ID"
"0","tt2388771","nm0000288","0"
"1","tt2388771","nm0000949","1"
"2","tt2388771","nm1212722","2"
"3","tt2388771","nm0365140","3"
"4","tt2388771","nm0785227","4"
"5","tt2388771","nm0611932","5"
"6","tt2388771","nm2930503","6"
"7","tt2388771","nm0550371","7"
"8","tt2388771","nm0390903","8"
"9","tt2388771","nm0722629","9"
"10","tt2388771","nm2951768","10"
"11","tt2388771","nm4575116","11"
"12","tt2388771","nm10302065","12"
"13","tt2388771","nm6162831","13"
"14","tt2388771","nm10302066","14"
"15","tt2388771","nm10302067","15"
"16","tt2388771","nm10302068","16"
"17","tt2388771","nm10302069","17"
"18","tt2388771","nm10302070","18"
"19","tt2388771","nm5151595","19"
"20","tt2388771","nm10302071","20"
"21","tt2388771","nm10302072","21"
"22","tt2388771","nm10302073","22"
"23","tt2388771","nm10302074","23"
"24","tt2388771","nm10302075","24"
"25","tt2388771","nm10302076","25"
"26","tt2388771","nm10302077","26"
"27","tt2388771","nm10302078","27"
"28","tt2388771","nm10302079","28"
"29","tt2388771","nm10302080","29"
"30","tt2388771","nm10302081","30"
"31","tt2388771","nm0071007","31"
"32","tt2388771","nm0324009","32"
"33","tt2388771","nm0114132","33"
"34","tt2388771","nm9028320","34"
"35","tt2388771","nm6751671","35"
"36","tt2388771","nm10302084","36"
"37","tt2388771","nm5334732","37"
"38","tt5164214","nm0000113","38"
"39","tt5164214","nm0001162","39"
"40","tt5164214","nm1129963","40"
"41","tt5164214","nm4313350","41"
"42","tt5164214","nm2343704","42"
"43","tt5164214","nm4067489","43"
"44","tt5164214","nm7094500","44"
"45","tt5164214","nm9876741","45"
"46","tt5164214","nm7723029","46"
"47","tt5164214","nm0000949","47"
"48","tt5164214","nm6377764","48"
"49","tt5164214","nm0001285","49"
"50","tt5164214","nm0035514","50"
"51","tt5164214","nm5016840","51"
"52","tt5164214","nm0004266","52"
"53","tt5164214","nm7974263","53"
"54","tt5164214","nm4581341","54"
"55","tt5164214","nm3069619","55"
"56","tt5164214","nm0316930","56"
"57","tt5164214","nm2142128","57"
"58","tt5164214","nm0000307","58"
"59","tt5164214","nm2140223","59"
"60","tt5164214","nm1411676","60"
"61","tt5164214","nm2029093","61"
"62","tt5164214","nm1982597","62"
"63","tt5164214","nm0266824","63"
"64","tt5164214","nm2222691","64"
"65","tt5164214","nm5377144","65"
"66","tt5164214","nm5560794","66"
"67","tt5164214","nm0005299","67"
"68","tt5164214","nm8673146","68"
"69","tt5164214","nm8404787","69"
"70","tt5164214","nm5960896","70"
"71","tt5164214","nm1767468","71"
"72","tt5164214","nm0086432","72"
"73","tt5164214","nm9129877","73"
"74","tt5164214","nm0933096","74"
"75","tt5164214","nm0949433","75"
"76","tt5164214","nm1921376","76"
"77","tt5164214","nm1159218","77"
"78","tt5164214","nm9876743","78"
"79","tt5164214","nm0514539","79"
"80","tt5164214","nm5832728","80"
"81","tt5164214","nm0061597","81"
"82","tt5164214","nm1028513","82"
"83","tt5164214","nm2591166","83"
"84","tt5164214","nm2340833","84"
"85","tt5164214","nm0755968","85"
"86","tt5164214","nm2790561","86"
"87","tt5164214","nm0080866","87"
"88","tt5164214","nm2787243","88"
"89","tt5164214","nm7134779","89"
"90","tt5164214","nm1696005","90"
"91","tt5164214","nm2751106","91"
"92","tt5164214","nm6886650","92"
"93","tt5164214","nm6910039","93"
"94","tt5164214","nm8079180","94"
"95","tt5164214","nm1578005","95"
"96","tt5164214","nm1331627","96"
"97","tt5164214","nm6408859","97"
"98","tt5164214","nm0452395","98"
"99","tt5164214","nm0114018","99"
"100","tt5164214","nm0179479","100"
"101","tt5164214","nm0005486","101"
"102","tt5164214","nm0412374","102"
"103","tt5164214","nm0933840","103"
"104","tt5164214","nm0039051","104"
"105","tt5164214","nm2339276","105"
"106","tt5164214","nm4343296","106"
"107","tt5164214","nm0946634","107"
"108","tt5164214","nm1134599","108"
"109","tt5164214","nm2958580","109"
"110","tt5164214","nm1036652","110"
"111","tt5164214","nm0939026","111"
"112","tt5164214","nm1753302","112"
"113","tt5164214","nm3891601","113"
"114","tt5164214","nm2440257","114"
"115","tt5164214","nm0060328","115"
"116","tt5164214","nm4134046","116"
"117","tt5164214","nm3783703","117"
"118","tt5164214","nm0101233","118"
"119","tt5164214","nm5910736","119"
"120","tt5164214","nm6145627","120"
"121","tt5164214","nm0996669","121"
"122","tt5164214","nm8137369","122"
"123","tt5164214","nm6309135","123"
"124","tt5164214","nm3997421","124"
"125","tt5164214","nm10081466","125"
"126","tt5164214","nm3974640","126"
"127","tt5164214","nm4676882","127"
"128","tt5164214","nm5906394","128"
"129","tt5164214","nm5076074","129"
"130","tt5164214","nm0383966","130"
"131","tt5164214","nm2832525","131"
"132","tt5164214","nm2832473","132"
"133","tt5164214","nm2578007","133"
"134","tt5164214","nm0454809","134"
"135","tt5164214","nm10071478","135"
"136","tt5164214","nm0992596","136"
"137","tt5164214","nm3076683","137"
"138","tt5164214","nm0568501","138"
"139","tt5164214","nm3684595","139"
