"index","MID","CID","ID"
"0","tt2388771","0.0","0"
"1","tt5164214","1.0","1"
"2","tt1365519","0.0","2"
"3","tt0848228","1.0","3"
"4","tt8239946","2.0","4"
"5","tt7027278","2.0","5"
"6","tt3498820","1.0","6"
"7","tt8108198","2.0","7"
"8","tt3741834","0.0","8"
"9","tt6747420","2.0","9"
"10","tt1981128","1.0","10"
"11","tt1010048","0.0","11"
"12","tt1190080","1.0","12"
"13","tt3726012","2.0","13"
"14","tt0075860","1.0","14"
"15","tt6923462","2.0","15"
"16","tt0454876","1.0","16"
"17","tt1606378","1.0","17"
"18","tt2120120","1.0","18"
"19","tt8108202","2.0","19"
"20","tt5970844","2.0","20"
"21","tt7725596","2.0","21"
"22","tt5461944","3.0","22"
"23","tt0838221","1.0","23"
"24","tt8426854","2.0","24"
"25","tt0286499","0.0","25"
"26","tt5074352","2.0","26"
"27","tt5474036","2.0","27"
"28","tt0043456","1.0","28"
"29","tt1098327","1.0","29"
"30","tt8396128","2.0","30"
"31","tt2884206","1.0","31"
"32","tt0366551","1.0","32"
"33","tt1187043","2.0","33"
"34","tt0986264","2.0","34"
"35","tt3735246","2.0","35"
"36","tt2338151","2.0","36"
"37","tt2980648","1.0","37"
"38","tt1954470","2.0","38"
"39","tt0120102","1.0","39"
"40","tt0086034","0.0","40"
"41","tt0109424","4.0","41"
"42","tt6452574","2.0","42"
"43","tt5816682","0.0","43"
"44","tt7919680","2.0","44"
"45","tt8852558","2.0","45"
"46","tt7218518","2.0","46"
"47","tt3004774","2.0","47"
"48","tt1166100","2.0","48"
"49","tt1412386","0.0","49"
"50","tt0327437","1.0","50"
"51","tt0116409","5.0","51"
"52","tt5935704","2.0","52"
"53","tt7098658","2.0","53"
"54","tt6967980","2.0","54"
"55","tt0169102","2.0","55"
"56","tt8439854","2.0","56"
"57","tt1188996","2.0","57"
"58","tt3823392","2.0","58"
"59","tt7720922","2.0","59"
"60","tt7820846","2.0","60"
"61","tt1285241","2.0","61"
"62","tt0405508","2.0","62"
"63","tt7853242","2.0","63"
"64","tt2882328","2.0","64"
"65","tt2631186","2.0","65"
"66","tt0066763","2.0","66"
"67","tt4849438","2.0","67"
"68","tt7147540","2.0","68"
"69","tt7526836","2.0","69"
"70","tt0808357","1.0","70"
"71","tt6173990","2.0","71"
"72","tt6129302","2.0","72"
"73","tt7581902","2.0","73"
"74","tt8202612","2.0","74"
"75","tt7431594","2.0","75"
"76","tt0809504","1.0","76"
"77","tt1647668","1.0","77"
"78","tt3044882","2.0","78"
"79","tt2350496","2.0","79"
"80","tt6148156","2.0","80"
"81","tt6206564","2.0","81"
"82","tt6826438","2.0","82"
"83","tt2082197","2.0","83"
"84","tt0051383","1.0","84"
"85","tt3224288","2.0","85"
"86","tt3148502","2.0","86"
"87","tt7180544","2.0","87"
"88","tt0361411","0.0","88"
"89","tt7638344","2.0","89"
"90","tt5690142","2.0","90"
"91","tt0087892","0.0","91"
"92","tt7881542","2.0","92"
"93","tt0248126","2.0","93"
"94","tt4635372","2.0","94"
"95","tt4977530","0.0","95"
"96","tt8011276","2.0","96"
"97","tt4699202","2.0","97"
"98","tt5946128","2.0","98"
"99","tt6484982","2.0","99"
"100","tt6774212","2.0","100"
"101","tt0093603","2.0","101"
"102","tt6514196","2.0","102"
"103","tt7363076","2.0","103"
"104","tt4110568","2.0","104"
"105","tt7700730","2.0","105"
"106","tt4934950","2.0","106"
"107","tt2181831","2.0","107"
"108","tt3405236","2.0","108"
"109","tt1821480","2.0","109"
"110","tt3418424","3.0","110"
"111","tt2574698","2.0","111"
"112","tt0115641","1.0","112"
"113","tt3863552","2.0","113"
"114","tt3043252","2.0","114"
"115","tt4129428","2.0","115"
"116","tt1849718","2.0","116"
"117","tt3001638","2.0","117"
"118","tt4434004","2.0","118"
"119","tt7469726","2.0","119"
"120","tt0891592","6.0","120"
"121","tt0375611","2.0","121"
"122","tt7690638","2.0","122"
"123","tt5662932","2.0","123"
"124","tt0432637","2.0","124"
"125","tt4387040","2.0","125"
"126","tt0238936","2.0","126"
"127","tt6692354","2.0","127"
"128","tt4559006","2.0","128"
"129","tt6972140","2.0","129"
"130","tt5571734","2.0","130"
"131","tt2436516","2.0","131"
"132","tt4430212","2.0","132"
"133","tt1185420","2.0","133"
"134","tt0367495","2.0","134"
"135","tt5842616","2.0","135"
"136","tt6071752","2.0","136"
"137","tt1833673","2.0","137"
"138","tt6108090","2.0","138"
"139","tt1280558","2.0","139"
"140","tt2215477","2.0","140"
"141","tt2408040","2.0","141"
"142","tt4832640","2.0","142"
"143","tt5785170","2.0","143"
"144","tt7981260","2.0","144"
"145","tt0112870","2.0","145"
"146","tt1327035","2.0","146"
"147","tt7618184","2.0","147"
"148","tt0457655","7.0","148"
"149","tt5956100","2.0","149"
"150","tt0347304","2.0","150"
"151","tt4900716","2.0","151"
"152","tt8136908","2.0","152"
"153","tt5460276","2.0","153"
"154","tt3771536","2.0","154"
"155","tt4535650","2.0","155"
"156","tt0265343","2.0","156"
"157","tt5542802","2.0","157"
"158","tt1787988","2.0","158"
"159","tt3678782","2.0","159"
"160","tt3702652","0.0","160"
"161","tt1839596","2.0","161"
"162","tt1024943","2.0","162"
"163","tt0172684","2.0","163"
"164","tt1093370","2.0","164"
"165","tt4814290","2.0","165"
"166","tt5997666","2.0","166"
"167","tt3390572","2.0","167"
"168","tt1321869","8.0","168"
"169","tt5882970","2.0","169"
"170","tt7275232","2.0","170"
"171","tt0420332","2.0","171"
"172","tt1934231","2.0","172"
"173","tt3767372","2.0","173"
"174","tt0449994","2.0","174"
"175","tt5613834","2.0","175"
"176","tt1562871","2.0","176"
"177","tt6485666","2.0","177"
"178","tt6588966","2.0","178"
"179","tt1562872","2.0","179"
"180","tt1182937","2.0","180"
"181","tt3679060","2.0","181"
"182","tt1620933","2.0","182"
"183","tt7399470","2.0","183"
"184","tt2213054","2.0","184"
"185","tt2178470","2.0","185"
"186","tt5255710","2.0","186"
"187","tt3541262","9.0","187"
"188","tt0367110","2.0","188"
"189","tt6102396","2.0","189"
"190","tt6170954","2.0","190"
"191","tt2176013","2.0","191"
"192","tt6580564","2.0","192"
"193","tt1974382","1.0","193"
"194","tt6843812","2.0","194"
"195","tt7607940","2.0","195"
"196","tt0073707","2.0","196"
"197","tt6978268","2.0","197"
"198","tt7412738","2.0","198"
"199","tt0031580","1.0","199"
"200","tt8055888","2.0","200"
"201","tt7329858","2.0","201"
"202","tt0871510","2.0","202"
"203","tt3322420","2.0","203"
"204","tt2112124","2.0","204"
"205","tt0400234","2.0","205"
"206","tt1275863","2.0","206"
"207","tt3447364","2.0","207"
"208","tt0441048","2.0","208"
"209","tt0433416","1.0","209"
"210","tt5050788","2.0","210"
"211","tt4399594","2.0","211"
"212","tt5474042","2.0","212"
"213","tt8458202","2.0","213"
"214","tt2361746","2.0","214"
"215","tt6971752","2.0","215"
"216","tt0280720","0.0","216"
"217","tt5197544","2.0","217"
"218","tt5325684","2.0","218"
"219","tt0374887","2.0","219"
"220","tt3848892","2.0","220"
"221","tt2557256","10.0","221"
"222","tt7471004","2.0","222"
"223","tt0213890","2.0","223"
"224","tt3469244","2.0","224"
"225","tt5745450","2.0","225"
"226","tt5518128","2.0","226"
"227","tt6514010","2.0","227"
"228","tt3614516","2.0","228"
"229","tt2150177","2.0","229"
"230","tt3542028","2.0","230"
"231","tt0096028","0.0","231"
"232","tt5071886","2.0","232"
"233","tt5764096","2.0","233"
"234","tt0479751","2.0","234"
"235","tt0466460","2.0","235"
"236","tt0379370","2.0","236"
"237","tt2377938","2.0","237"
"238","tt0964516","2.0","238"
"239","tt1029231","2.0","239"
"240","tt7162758","2.0","240"
"241","tt1292703","2.0","241"
"242","tt3495026","2.0","242"
"243","tt5358948","2.0","243"
"244","tt7609114","2.0","244"
"245","tt1926313","2.0","245"
"246","tt5713232","2.0","246"
"247","tt2283748","2.0","247"
"248","tt8338746","2.0","248"
"249","tt5108476","2.0","249"
"250","tt1836987","0.0","250"
"251","tt1324059","2.0","251"
"252","tt1948150","2.0","252"
"253","tt0461936","2.0","253"
"254","tt2929690","2.0","254"
"255","tt1198101","2.0","255"
"256","tt3495030","2.0","256"
"257","tt3554418","2.0","257"
"258","tt3177332","2.0","258"
"259","tt2203308","2.0","259"
"260","tt1438298","2.0","260"
"261","tt0234000","2.0","261"
"262","tt2461132","2.0","262"
"263","tt0425326","1.0","263"
"264","tt3337550","2.0","264"
"265","tt1629376","2.0","265"
"266","tt1261047","2.0","266"
"267","tt7384848","2.0","267"
"268","tt5918074","2.0","268"
"269","tt2309987","2.0","269"
"270","tt7722258","2.0","270"
"271","tt2797242","2.0","271"
"272","tt2172071","2.0","272"
"273","tt1806913","2.0","273"
"274","tt0292490","2.0","274"
"275","tt1773764","2.0","275"
"276","tt1734110","2.0","276"
"277","tt4430136","2.0","277"
"278","tt6277440","2.0","278"
"279","tt4909752","2.0","279"
"280","tt2226666","2.0","280"
"281","tt3859980","2.0","281"
"282","tt8060624","2.0","282"
"283","tt0422091","2.0","283"
"284","tt2016894","2.0","284"
"285","tt2979920","2.0","285"
"286","tt0347473","2.0","286"
"287","tt5121000","2.0","287"
"288","tt2317337","2.0","288"
"289","tt5165344","2.0","289"
"290","tt2905838","2.0","290"
"291","tt0296574","2.0","291"
"292","tt5465370","2.0","292"
"293","tt0473367","2.0","293"
"294","tt6405126","2.0","294"
"295","tt4467262","2.0","295"
"296","tt2976182","2.0","296"
"297","tt0488414","2.0","297"
"298","tt3709344","2.0","298"
"299","tt2126282","2.0","299"
"300","tt2356180","2.0","300"
"301","tt0352314","2.0","301"
"302","tt0499375","2.0","302"
"303","tt6272828","2.0","303"
"304","tt1185442","2.0","304"
"305","tt4232066","2.0","305"
"306","tt5456546","2.0","306"
"307","tt7617988","2.0","307"
"308","tt0254481","2.0","308"
"309","tt4864932","2.0","309"
"310","tt0242519","2.0","310"
"311","tt2635622","2.0","311"
"312","tt0116630","2.0","312"
"313","tt1077248","2.0","313"
"314","tt5997928","2.0","314"
"315","tt1274295","2.0","315"
"316","tt6471054","2.0","316"
"317","tt0164538","2.0","317"
"318","tt2372678","2.0","318"
"319","tt1049405","0.0","319"
"320","tt2855648","2.0","320"
"321","tt0449999","2.0","321"
"322","tt1954598","2.0","322"
"323","tt2609218","2.0","323"
"324","tt0222012","2.0","324"
"325","tt5286444","2.0","325"
"326","tt0995740","2.0","326"
"327","tt2359810","2.0","327"
"328","tt2229848","2.0","328"
"329","tt2168910","0.0","329"
"330","tt0272736","2.0","330"
"331","tt0439662","2.0","331"
"332","tt1375789","2.0","332"
"333","tt1639426","2.0","333"
"334","tt6299040","2.0","334"
"335","tt4169250","2.0","335"
"336","tt1091229","2.0","336"
"337","tt1433810","2.0","337"
"338","tt5697870","2.0","338"
"339","tt4940456","2.0","339"
"340","tt0151150","2.0","340"
"341","tt5477608","2.0","341"
"342","tt7142506","2.0","342"
"343","tt0376127","2.0","343"
"344","tt4276752","10.0","344"
"345","tt0117878","2.0","345"
"346","tt5638500","2.0","346"
"347","tt0463345","11.0","347"
"348","tt6613812","2.0","348"
"349","tt0114142","1.0","349"
"350","tt4333674","2.0","350"
"351","tt4865436","2.0","351"
"352","tt5156746","2.0","352"
"353","tt0315642","2.0","353"
"354","tt2980794","2.0","354"
"355","tt0109117","2.0","355"
"356","tt1610452","2.0","356"
"357","tt0118983","2.0","357"
"358","tt0102258","2.0","358"
"359","tt4807830","2.0","359"
"360","tt3802576","2.0","360"
"361","tt5472758","2.0","361"
"362","tt1572311","2.0","362"
"363","tt5472374","2.0","363"
"364","tt4874298","1.0","364"
"365","tt1714832","2.0","365"
"366","tt0106333","2.0","366"
"367","tt3410408","2.0","367"
"368","tt2424988","2.0","368"
"369","tt3696192","2.0","369"
"370","tt2181931","2.0","370"
"371","tt5743656","2.0","371"
"372","tt0346457","2.0","372"
"373","tt2072227","2.0","373"
"374","tt6143422","2.0","374"
"375","tt6173826","2.0","375"
"376","tt0215132","2.0","376"
"377","tt4906960","2.0","377"
"378","tt0294662","2.0","378"
"379","tt1411956","1.0","379"
"380","tt1230165","2.0","380"
"381","tt1428459","2.0","381"
"382","tt3175038","2.0","382"
"383","tt3483712","2.0","383"
"384","tt1694542","2.0","384"
"385","tt8223250","2.0","385"
"386","tt0100095","2.0","386"
"387","tt4552546","2.0","387"
"388","tt5742874","2.0","388"
"389","tt0075143","12.0","389"
"390","tt4552486","2.0","390"
"391","tt0195231","2.0","391"
"392","tt7647198","2.0","392"
"393","tt5983262","2.0","393"
"394","tt6265988","2.0","394"
"395","tt1020937","2.0","395"
"396","tt5982852","2.0","396"
"397","tt0425055","1.0","397"
"398","tt2614722","2.0","398"
"399","tt2140465","2.0","399"
"400","tt1043451","2.0","400"
"401","tt0451850","2.0","401"
"402","tt1580704","2.0","402"
"403","tt0052954","2.0","403"
"404","tt3679000","2.0","404"
"405","tt3483646","2.0","405"
"406","tt5178120","13.0","406"
"407","tt0066070","2.0","407"
"408","tt1266583","2.0","408"
"409","tt6791730","2.0","409"
"410","tt0758053","2.0","410"
"411","tt7695014","2.0","411"
"412","tt4271730","2.0","412"
"413","tt1985981","2.0","413"
"414","tt1291465","2.0","414"
"415","tt1244093","2.0","415"
"416","tt1836912","2.0","416"
"417","tt4979082","2.0","417"
"418","tt2258337","2.0","418"
"419","tt1954206","2.0","419"
"420","tt1667838","2.0","420"
"421","tt3717068","2.0","421"
"422","tt0079221","2.0","422"
"423","tt4332114","2.0","423"
"424","tt0058547","2.0","424"
"425","tt8484590","2.0","425"
"426","tt0800956","2.0","426"
"427","tt0107311","2.0","427"
"428","tt2049630","1.0","428"
"429","tt2677064","2.0","429"
"430","tt2476154","2.0","430"
"431","tt5235880","2.0","431"
"432","tt0248185","2.0","432"
"433","tt1144804","2.0","433"
"434","tt2804026","2.0","434"
"435","tt0795434","2.0","435"
"436","tt2309764","2.0","436"
"437","tt5207116","2.0","437"
"438","tt1949548","2.0","438"
"439","tt4088588","2.0","439"
"440","tt0405507","2.0","440"
"441","tt3495000","2.0","441"
"442","tt8581230","2.0","442"
"443","tt3019620","2.0","443"
"444","tt0248617","2.0","444"
"445","tt6712014","2.0","445"
"446","tt5943306","2.0","446"
"447","tt5752374","2.0","447"
"448","tt2187153","2.0","448"
"449","tt0109206","0.0","449"
"450","tt0470869","2.0","450"
"451","tt0432047","2.0","451"
"452","tt0323013","2.0","452"
"453","tt1183946","2.0","453"
"454","tt2198235","2.0","454"
"455","tt0150992","2.0","455"
"456","tt3742284","2.0","456"
"457","tt8427036","2.0","457"
"458","tt1918886","2.0","458"
"459","tt1499201","2.0","459"
"460","tt6467738","2.0","460"
"461","tt0330082","2.0","461"
"462","tt2699840","2.0","462"
"463","tt3836958","2.0","463"
"464","tt1918965","2.0","464"
"465","tt6275262","2.0","465"
"466","tt3017412","2.0","466"
"467","tt5764024","2.0","467"
"468","tt3794302","2.0","468"
"469","tt3209826","2.0","469"
"470","tt4949324","2.0","470"
"471","tt1101665","2.0","471"
"472","tt0403935","2.0","472"
"473","tt5290620","2.0","473"
"474","tt2423132","2.0","474"
"475","tt0220832","2.0","475"
"476","tt4559046","2.0","476"
"477","tt5775220","2.0","477"
"478","tt0249371","2.0","478"
"479","tt2372222","2.0","479"
"480","tt0382383","2.0","480"
"481","tt3142232","2.0","481"
"482","tt3678938","2.0","482"
"483","tt6926486","2.0","483"
"484","tt8175968","2.0","484"
"485","tt0240200","6.0","485"
"486","tt0303785","6.0","486"
"487","tt4990516","2.0","487"
"488","tt8698956","2.0","488"
