"index","MID","PID","ID"
"0","tt2388771","nm0785227","0"
"1","tt5164214","nm0002657","1"
"2","tt1365519","nm1012385","2"
"3","tt0848228","nm0923736","3"
"4","tt8239946","nm9751348","4"
"5","tt7027278","nm0438461","5"
"6","tt3498820","nm0751577","6"
"7","tt8108198","nm1437189","7"
"8","tt3741834","nm0204628","8"
"9","tt6747420","nm1636742","9"
"10","tt1981128","nm0002041","10"
"11","tt1010048","nm0000965","11"
"12","tt1190080","nm0000386","12"
"13","tt3726012","nm1179457","13"
"14","tt0075860","nm0000229","14"
"15","tt6923462","nm0201903","15"
"16","tt0454876","nm0000487","16"
"17","tt1606378","nm0601382","17"
"18","tt2120120","nm0001060","18"
"19","tt8108202","nm3603873","19"
"20","tt5970844","nm1715502","20"
"21","tt7725596","nm2279430","21"
"22","tt5461944","nm2285536","22"
"23","tt0838221","nm0027572","23"
"24","tt8426854","nm10023062","24"
"25","tt0286499","nm0149446","25"
"26","tt5074352","nm4318159","26"
"27","tt5474036","nm0440604","27"
"28","tt0043456","nm0936404","28"
"29","tt1098327","nm0939128","29"
"30","tt8396128","nm0080235","30"
"31","tt2884206","nm2648685","31"
"32","tt0366551","nm0500444","32"
"33","tt1187043","nm0386246","33"
"34","tt0986264","nm0451148","34"
"35","tt3735246","nm0080220","35"
"36","tt2338151","nm0386246","36"
"37","tt2980648","nm0002120","37"
"38","tt1954470","nm0440604","38"
"39","tt0120102","nm0000269","39"
"40","tt0086034","nm0322515","40"
"41","tt0109424","nm0939182","41"
"42","tt6452574","nm0386246","42"
"43","tt5816682","nm0001241","43"
"44","tt7919680","nm2410557","44"
"45","tt8852558","nm2859182","45"
"46","tt7218518","nm2669564","46"
"47","tt3004774","nm0849786","47"
"48","tt1166100","nm1436693","48"
"49","tt1412386","nm0006960","49"
"50","tt0327437","nm0178997","50"
"51","tt0116409","nm0394280","51"
"52","tt5935704","nm0080220","52"
"53","tt7098658","nm1126068","53"
"54","tt6967980","nm6436658","54"
"55","tt0169102","nm0332950","55"
"56","tt8439854","nm0015295","56"
"57","tt1188996","nm0424103","57"
"58","tt3823392","nm0634782","58"
"59","tt7720922","nm3109648","59"
"60","tt7820846","nm4310377","60"
"61","tt1285241","nm1027719","61"
"62","tt0405508","nm1018493","62"
"63","tt7853242","nm2945270","63"
"64","tt2882328","nm0440604","64"
"65","tt2631186","nm1442514","65"
"66","tt0066763","nm0611531","66"
"67","tt4849438","nm1442514","67"
"68","tt7147540","nm2680506","68"
"69","tt7526836","nm5581835","69"
"70","tt0808357","nm0000487","70"
"71","tt6173990","nm1030373","71"
"72","tt6129302","nm0003939","72"
"73","tt7581902","nm3060331","73"
"74","tt8202612","nm1179457","74"
"75","tt7431594","nm1150656","75"
"76","tt0809504","nm0001162","76"
"77","tt1647668","nm0318916","77"
"78","tt3044882","nm0768289","78"
"79","tt2350496","nm3592235","79"
"80","tt6148156","nm2566836","80"
"81","tt6206564","nm0003939","81"
"82","tt6826438","nm0788855","82"
"83","tt2082197","nm1397301","83"
"84","tt0051383","nm0196536","84"
"85","tt3224288","nm0006498","85"
"86","tt3148502","nm1665004","86"
"87","tt7180544","nm0440604","87"
"88","tt0361411","nm0149446","88"
"89","tt7638344","nm4264671","89"
"90","tt5690142","nm8119703","90"
"91","tt0087892","nm0000180","91"
"92","tt7881542","nm2414127","92"
"93","tt0248126","nm0424103","93"
"94","tt4635372","nm4784536","94"
"95","tt4977530","nm0149446","95"
"96","tt8011276","nm9631744","96"
"97","tt4699202","nm2384379","97"
"98","tt5946128","nm1903006","98"
"99","tt6484982","nm3536895","99"
"100","tt6774212","nm3109770","100"
"101","tt0093603","nm0711745","101"
"102","tt6514196","nm1761965","102"
"103","tt7363076","nm2955107","103"
"104","tt4110568","nm0015295","104"
"105","tt7700730","nm1999473","105"
"106","tt4934950","nm1126068","106"
"107","tt2181831","nm0576554","107"
"108","tt3405236","nm1194320","108"
"109","tt1821480","nm1223910","109"
"110","tt3418424","nm6168274","110"
"111","tt2574698","nm1804614","111"
"112","tt0115641","nm0431918","112"
"113","tt3863552","nm1203138","113"
"114","tt3043252","nm1636742","114"
"115","tt4129428","nm1397301","115"
"116","tt1849718","nm1633551","116"
"117","tt3001638","nm1293225","117"
"118","tt4434004","nm1322477","118"
"119","tt7469726","nm9323057","119"
"120","tt0891592","nm0005647","120"
"121","tt0375611","nm0080220","121"
"122","tt7690638","nm1249945","122"
"123","tt5662932","nm0440604","123"
"124","tt0432637","nm0004363","124"
"125","tt4387040","nm1329166","125"
"126","tt0238936","nm0080220","126"
"127","tt6692354","nm2141091","127"
"128","tt4559006","nm0424103","128"
"129","tt6972140","nm3218978","129"
"130","tt5571734","nm2287772","130"
"131","tt2436516","nm1354763","131"
"132","tt4430212","nm1723225","132"
"133","tt1185420","nm1160374","133"
"134","tt0367495","nm1326535","134"
"135","tt5842616","nm1492802","135"
"136","tt6071752","nm9623915","136"
"137","tt1833673","nm1715502","137"
"138","tt6108090","nm2378914","138"
"139","tt1280558","nm3109770","139"
"140","tt2215477","nm0080220","140"
"141","tt2408040","nm5120912","141"
"142","tt4832640","nm1804614","142"
"143","tt5785170","nm3109648","143"
"144","tt7981260","nm3462170","144"
"145","tt0112870","nm0159147","145"
"146","tt1327035","nm0440604","146"
"147","tt7618184","nm1025280","147"
"148","tt0457655","nm0081540","148"
"149","tt5956100","nm1804614","149"
"150","tt0347304","nm0012541","150"
"151","tt4900716","nm2439708","151"
"152","tt8136908","nm4244515","152"
"153","tt5460276","nm0348495","153"
"154","tt3771536","nm0222426","154"
"155","tt4535650","nm1460159","155"
"156","tt0265343","nm0619762","156"
"157","tt5542802","nm1803649","157"
"158","tt1787988","nm1030373","158"
"159","tt3678782","nm1437189","159"
"160","tt3702652","nm1266897","160"
"161","tt1839596","nm1665004","161"
"162","tt1024943","nm0007134","162"
"163","tt0172684","nm0424103","163"
"164","tt1093370","nm1665004","164"
"165","tt4814290","nm4138262","165"
"166","tt5997666","nm1665004","166"
"167","tt3390572","nm0080235","167"
"168","tt1321869","nm0423646","168"
"169","tt5882970","nm1203138","169"
"170","tt7275232","nm3442103","170"
"171","tt0420332","nm0007181","171"
"172","tt1934231","nm3218978","172"
"173","tt3767372","nm1999473","173"
"174","tt0449994","nm0332950","174"
"175","tt5613834","nm1354763","175"
"176","tt1562871","nm1025280","176"
"177","tt6485666","nm5961051","177"
"178","tt6588966","nm5648841","178"
"179","tt1562872","nm0015295","179"
"180","tt1182937","nm0159147","180"
"181","tt3679060","nm2539328","181"
"182","tt1620933","nm0223606","182"
"183","tt7399470","nm0151511","183"
"184","tt2213054","nm0438461","184"
"185","tt2178470","nm2209781","185"
"186","tt5255710","nm1840921","186"
"187","tt3541262","nm3482943","187"
"188","tt0367110","nm0332950","188"
"189","tt6102396","nm2356415","189"
"190","tt6170954","nm2243602","190"
"191","tt2176013","nm0007181","191"
"192","tt6580564","nm1084488","192"
"193","tt1974382","nm2092917","193"
"194","tt6843812","nm0451155","194"
"195","tt7607940","nm1150959","195"
"196","tt0073707","nm0802693","196"
"197","tt6978268","nm0576554","197"
"198","tt7412738","nm3464122","198"
"199","tt0031580","nm0485943","199"
"200","tt8055888","nm3035236","200"
"201","tt7329858","nm2583101","201"
"202","tt0871510","nm0024912","202"
"203","tt3322420","nm2134474","203"
"204","tt2112124","nm1460159","204"
"205","tt0400234","nm0440604","205"
"206","tt1275863","nm1665004","206"
"207","tt3447364","nm1962313","207"
"208","tt0441048","nm1189376","208"
"209","tt0433416","nm0619762","209"
"210","tt5050788","nm2738818","210"
"211","tt4399594","nm0438461","211"
"212","tt5474042","nm1887138","212"
"213","tt8458202","nm7326029","213"
"214","tt2361746","nm2396167","214"
"215","tt6971752","nm9179246","215"
"216","tt0280720","nm0902939","216"
"217","tt5197544","nm1224429","217"
"218","tt5325684","nm1959662","218"
"219","tt0374887","nm0386246","219"
"220","tt3848892","nm3109770","220"
"221","tt2557256","nm0492408","221"
"222","tt7471004","nm2528557","222"
"223","tt0213890","nm0159147","223"
"224","tt3469244","nm1203138","224"
"225","tt5745450","nm1329166","225"
"226","tt5518128","nm0080333","226"
"227","tt6514010","nm2418372","227"
"228","tt3614516","nm0438494","228"
"229","tt2150177","nm0665548","229"
"230","tt3542028","nm4454749","230"
"231","tt0096028","nm0619762","231"
"232","tt5071886","nm3163794","232"
"233","tt5764096","nm1062080","233"
"234","tt0479751","nm0788171","234"
"235","tt0466460","nm1962313","235"
"236","tt0379370","nm0080235","236"
"237","tt2377938","nm3109770","237"
"238","tt0964516","nm1055105","238"
"239","tt1029231","nm0004363","239"
"240","tt7162758","nm0244892","240"
"241","tt1292703","nm1962313","241"
"242","tt3495026","nm1834891","242"
"243","tt5358948","nm7867078","243"
"244","tt7609114","nm3221483","244"
"245","tt1926313","nm3060331","245"
"246","tt5713232","nm1723225","246"
"247","tt2283748","nm1084488","247"
"248","tt8338746","nm4105024","248"
"249","tt5108476","nm0159147","249"
"250","tt1836987","nm0935863","250"
"251","tt1324059","nm2209781","251"
"252","tt1948150","nm1460159","252"
"253","tt0461936","nm1027719","253"
"254","tt2929690","nm1773569","254"
"255","tt1198101","nm1397301","255"
"256","tt3495030","nm2680506","256"
"257","tt3554418","nm1492802","257"
"258","tt3177332","nm2989170","258"
"259","tt2203308","nm1887138","259"
"260","tt1438298","nm0080220","260"
