"index","MID","GID","ID"
"0","tt2388771","0","0"
"1","tt5164214","1","1"
"2","tt1365519","2","2"
"3","tt0848228","3","3"
"4","tt8239946","4","4"
"5","tt7027278","5","5"
"6","tt3498820","3","6"
"7","tt8108198","6","7"
"8","tt3741834","7","8"
"9","tt6747420","8","9"
"10","tt1981128","9","10"
"11","tt1010048","5","11"
"12","tt1190080","3","12"
"13","tt3726012","10","13"
"14","tt0075860","11","14"
"15","tt6923462","7","15"
"16","tt0454876","0","16"
"17","tt1606378","12","17"
"18","tt2120120","13","18"
"19","tt8108202","14","19"
"20","tt5970844","15","20"
"21","tt7725596","16","21"
"22","tt5461944","17","22"
"23","tt0838221","18","23"
"24","tt8426854","19","24"
"25","tt0286499","20","25"
"26","tt5074352","21","26"
"27","tt5474036","22","27"
"28","tt0043456","11","28"
"29","tt1098327","2","29"
"30","tt8396128","23","30"
"31","tt2884206","24","31"
"32","tt0366551","25","32"
"33","tt1187043","16","33"
"34","tt0986264","26","34"
"35","tt3735246","27","35"
"36","tt2338151","28","36"
"37","tt2980648","16","37"
"38","tt1954470","1","38"
"39","tt0120102","29","39"
"40","tt0086034","30","40"
"41","tt0109424","31","41"
"42","tt6452574","7","42"
"43","tt5816682","32","43"
"44","tt7919680","16","44"
"45","tt8852558","10","45"
"46","tt7218518","33","46"
"47","tt3004774","34","47"
"48","tt1166100","35","48"
"49","tt1412386","20","49"
"50","tt0327437","36","50"
"51","tt0116409","37","51"
"52","tt5935704","38","52"
"53","tt7098658","39","53"
"54","tt6967980","40","54"
"55","tt0169102","41","55"
"56","tt8439854","19","56"
"57","tt1188996","19","57"
"58","tt3823392","19","58"
"59","tt7720922","19","59"
"60","tt7820846","5","60"
"61","tt1285241","42","61"
"62","tt0405508","16","62"
"63","tt7853242","40","63"
"64","tt2882328","43","64"
"65","tt2631186","44","65"
"66","tt0066763","19","66"
"67","tt4849438","44","67"
"68","tt7147540","16","68"
"69","tt7526836","10","69"
"70","tt0808357","38","70"
"71","tt6173990","45","71"
"72","tt6129302","46","72"
"73","tt7581902","40","73"
"74","tt8202612","12","74"
"75","tt7431594","12","75"
"76","tt0809504","40","76"
"77","tt1647668","47","77"
"78","tt3044882","34","78"
"79","tt2350496","5","79"
"80","tt6148156","42","80"
"81","tt6206564","39","81"
"82","tt6826438","27","82"
"83","tt2082197","20","83"
"84","tt0051383","20","84"
"85","tt3224288","26","85"
"86","tt3148502","20","86"
"87","tt7180544","48","87"
"88","tt0361411","49","88"
"89","tt7638344","5","89"
"90","tt5690142","50","90"
"91","tt0087892","51","91"
"92","tt7881542","10","92"
"93","tt0248126","52","93"
"94","tt4635372","19","94"
"95","tt4977530","32","95"
"96","tt8011276","5","96"
"97","tt4699202","53","97"
"98","tt5946128","5","98"
"99","tt6484982","19","99"
"100","tt6774212","54","100"
"101","tt0093603","55","101"
"102","tt6514196","19","102"
"103","tt7363076","54","103"
"104","tt4110568","20","104"
"105","tt7700730","5","105"
"106","tt4934950","43","106"
"107","tt2181831","56","107"
"108","tt3405236","54","108"
"109","tt1821480","57","109"
"110","tt3418424","34","110"
"111","tt2574698","58","111"
"112","tt0115641","59","112"
"113","tt3863552","23","113"
"114","tt3043252","19","114"
"115","tt4129428","36","115"
"116","tt1849718","46","116"
"117","tt3001638","21","117"
"118","tt4434004","54","118"
"119","tt7469726","60","119"
"120","tt0891592","42","120"
"121","tt0375611","19","121"
"122","tt7690638","61","122"
"123","tt5662932","50","123"
"124","tt0432637","3","124"
"125","tt4387040","62","125"
"126","tt0238936","52","126"
"127","tt6692354","57","127"
"128","tt4559006","63","128"
"129","tt6972140","1","129"
"130","tt5571734","19","130"
"131","tt2436516","36","131"
"132","tt4430212","50","132"
"133","tt1185420","20","133"
"134","tt0367495","18","134"
"135","tt5842616","10","135"
"136","tt6071752","40","136"
"137","tt1833673","12","137"
"138","tt6108090","64","138"
"139","tt1280558","43","139"
"140","tt2215477","52","140"
"141","tt2408040","55","141"
"142","tt4832640","48","142"
"143","tt5785170","16","143"
"144","tt7981260","34","144"
"145","tt0112870","49","145"
"146","tt1327035","20","146"
"147","tt7618184","19","147"
"148","tt0457655","19","148"
"149","tt5956100","12","149"
"150","tt0347304","20","150"
"151","tt4900716","20","151"
"152","tt8136908","26","152"
"153","tt5460276","39","153"
"154","tt3771536","39","154"
"155","tt4535650","65","155"
"156","tt0265343","20","156"
"157","tt5542802","58","157"
"158","tt1787988","43","158"
"159","tt3678782","54","159"
"160","tt3702652","66","160"
"161","tt1839596","63","161"
"162","tt1024943","67","162"
"163","tt0172684","49","163"
"164","tt1093370","20","164"
"165","tt4814290","68","165"
"166","tt5997666","20","166"
"167","tt3390572","54","167"
"168","tt1321869","69","168"
"169","tt5882970","70","169"
"170","tt7275232","16","170"
"171","tt0420332","71","171"
"172","tt1934231","1","172"
"173","tt3767372","16","173"
"174","tt0449994","27","174"
"175","tt5613834","72","175"
"176","tt1562871","3","176"
"177","tt6485666","12","177"
"178","tt6588966","16","178"
"179","tt1562872","16","179"
"180","tt1182937","73","180"
"181","tt3679060","36","181"
"182","tt1620933","74","182"
"183","tt7399470","40","183"
"184","tt2213054","75","184"
"185","tt2178470","49","185"
"186","tt5255710","52","186"
"187","tt3541262","27","187"
"188","tt0367110","19","188"
"189","tt6102396","76","189"
"190","tt6170954","12","190"
"191","tt2176013","60","191"
"192","tt6580564","16","192"
"193","tt1974382","75","193"
"194","tt6843812","12","194"
"195","tt7607940","40","195"
"196","tt0073707","36","196"
"197","tt6978268","74","197"
"198","tt7412738","77","198"
"199","tt0031580","8","199"
"200","tt8055888","72","200"
"201","tt7329858","78","201"
"202","tt0871510","79","202"
"203","tt3322420","16","203"
"204","tt2112124","72","204"
"205","tt0400234","54","205"
"206","tt1275863","20","206"
"207","tt3447364","80","207"
"208","tt0441048","42","208"
"209","tt0433416","19","209"
"210","tt5050788","5","210"
"211","tt4399594","5","211"
"212","tt5474042","5","212"
"213","tt8458202","34","213"
"214","tt2361746","5","214"
"215","tt6971752","40","215"
"216","tt0280720","81","216"
"217","tt5197544","20","217"
"218","tt5325684","50","218"
"219","tt0374887","49","219"
"220","tt3848892","12","220"
"221","tt2557256","82","221"
"222","tt7471004","66","222"
"223","tt0213890","83","223"
"224","tt3469244","39","224"
"225","tt5745450","8","225"
"226","tt5518128","84","226"
"227","tt6514010","85","227"
"228","tt3614516","16","228"
"229","tt2150177","23","229"
"230","tt3542028","10","230"
"231","tt0096028","55","231"
"232","tt5071886","54","232"
"233","tt5764096","16","233"
"234","tt0479751","39","234"
"235","tt0466460","85","235"
"236","tt0379370","50","236"
"237","tt2377938","53","237"
"238","tt0964516","19","238"
"239","tt1029231","3","239"
"240","tt7162758","27","240"
"241","tt1292703","85","241"
"242","tt3495026","39","242"
"243","tt5358948","5","243"
"244","tt7609114","72","244"
"245","tt1926313","20","245"
"246","tt5713232","86","246"
"247","tt2283748","28","247"
"248","tt8338746","85","248"
"249","tt5108476","20","249"
"250","tt1836987","19","250"
"251","tt1324059","20","251"
"252","tt1948150","46","252"
"253","tt0461936","42","253"
"254","tt2929690","19","254"
"255","tt1198101","58","255"
"256","tt3495030","20","256"
"257","tt3554418","40","257"
"258","tt3177332","66","258"
"259","tt2203308","63","259"
"260","tt1438298","19","260"
"261","tt0234000","87","261"
"262","tt2461132","88","262"
"263","tt0425326","20","263"
"264","tt3337550","57","264"
"265","tt1629376","68","265"
"266","tt1261047","50","266"
"267","tt7384848","68","267"
"268","tt5918074","34","268"
"269","tt2309987","34","269"
"270","tt7722258","12","270"
"271","tt2797242","19","271"
"272","tt2172071","20","272"
"273","tt1806913","89","273"
"274","tt0292490","20","274"
"275","tt1773764","19","275"
"276","tt1734110","56","276"
"277","tt4430136","20","277"
"278","tt6277440","20","278"
"279","tt4909752","27","279"
"280","tt2226666","34","280"
"281","tt3859980","90","281"
"282","tt8060624","40","282"
"283","tt0422091","42","283"
"284","tt2016894","91","284"
"285","tt2979920","54","285"
"286","tt0347473","23","286"
"287","tt5121000","7","287"
"288","tt2317337","40","288"
"289","tt5165344","50","289"
"290","tt2905838","36","290"
"291","tt0296574","54","291"
"292","tt5465370","12","292"
"293","tt0473367","20","293"
"294","tt6405126","50","294"
"295","tt4467262","20","295"
"296","tt2976182","35","296"
"297","tt0488414","54","297"
"298","tt3709344","34","298"
"299","tt2126282","5","299"
"300","tt2356180","47","300"
"301","tt0352314","43","301"
"302","tt0499375","7","302"
"303","tt6272828","40","303"
"304","tt1185442","54","304"
"305","tt4232066","5","305"
"306","tt5456546","72","306"
"307","tt7617988","22","307"
"308","tt0254481","58","308"
"309","tt4864932","12","309"
"310","tt0242519","1","310"
"311","tt2635622","92","311"
"312","tt0116630","39","312"
"313","tt1077248","43","313"
"314","tt5997928","16","314"
"315","tt1274295","1","315"
"316","tt6471054","19","316"
"317","tt0164538","5","317"
"318","tt2372678","20","318"
"319","tt1049405","20","319"
"320","tt2855648","46","320"
"321","tt0449999","5","321"
"322","tt1954598","20","322"
"323","tt2609218","66","323"
"324","tt0222012","17","324"
"325","tt5286444","93","325"
"326","tt0995740","94","326"
"327","tt2359810","5","327"
"328","tt2229848","16","328"
"329","tt2168910","20","329"
"330","tt0272736","95","330"
"331","tt0439662","5","331"
"332","tt1375789","42","332"
"333","tt1639426","19","333"
"334","tt6299040","96","334"
"335","tt4169250","47","335"
"336","tt1091229","89","336"
"337","tt1433810","19","337"
"338","tt5697870","97","338"
"339","tt4940456","52","339"
"340","tt0151150","67","340"
"341","tt5477608","57","341"
"342","tt7142506","5","342"
"343","tt0376127","39","343"
"344","tt4276752","90","344"
"345","tt0117878","23","345"
"346","tt5638500","98","346"
"347","tt0463345","19","347"
"348","tt6613812","19","348"
"349","tt0114142","34","349"
"350","tt4333674","40","350"
"351","tt4865436","34","351"
"352","tt5156746","12","352"
"353","tt0315642","54","353"
"354","tt2980794","31","354"
"355","tt0109117","99","355"
"356","tt1610452","20","356"
"357","tt0118983","49","357"
"358","tt0102258","52","358"
"359","tt4807830","19","359"
