"index","MID","LAID","ID"
"0","tt2388771","0","0"
"1","tt5164214","0","1"
"2","tt1365519","0","2"
"3","tt0848228","0","3"
"4","tt8239946","1","4"
"5","tt7027278","2","5"
"6","tt3498820","0","6"
"7","tt8108198","2","7"
"8","tt3741834","0","8"
"9","tt6747420","2","9"
"10","tt1981128","0","10"
"11","tt1010048","0","11"
"12","tt1190080","0","12"
"13","tt3726012","2","13"
"14","tt0075860","0","14"
"15","tt6923462","2","15"
"16","tt0454876","0","16"
"17","tt1606378","0","17"
"18","tt2120120","0","18"
"19","tt8108202","2","19"
"20","tt5970844","2","20"
"21","tt7725596","2","21"
"22","tt5461944","0","22"
"23","tt0838221","0","23"
"24","tt8426854","2","24"
"25","tt0286499","0","25"
"26","tt5074352","2","26"
"27","tt5474036","2","27"
"28","tt0043456","0","28"
"29","tt1098327","0","29"
"30","tt8396128","2","30"
"31","tt2884206","0","31"
"32","tt0366551","0","32"
"33","tt1187043","2","33"
"34","tt0986264","2","34"
"35","tt3735246","2","35"
"36","tt2338151","2","36"
"37","tt2980648","0","37"
"38","tt1954470","2","38"
"39","tt0120102","0","39"
"40","tt0086034","0","40"
"41","tt0109424","3","41"
"42","tt6452574","2","42"
"43","tt5816682","0","43"
"44","tt7919680","2","44"
"45","tt8852558","2","45"
"46","tt7218518","2","46"
"47","tt3004774","2","47"
"48","tt1166100","2","48"
"49","tt1412386","0","49"
"50","tt0327437","0","50"
"51","tt0116409","0","51"
"52","tt5935704","2","52"
"53","tt7098658","2","53"
"54","tt6967980","2","54"
"55","tt0169102","2","55"
"56","tt8439854","2","56"
"57","tt1188996","2","57"
"58","tt3823392","2","58"
"59","tt7720922","2","59"
"60","tt7820846","2","60"
"61","tt1285241","2","61"
"62","tt0405508","2","62"
"63","tt7853242","2","63"
"64","tt2882328","2","64"
"65","tt2631186","4","65"
"66","tt0066763","2","66"
"67","tt4849438","4","67"
"68","tt7147540","2","68"
"69","tt7526836","2","69"
"70","tt0808357","5","70"
"71","tt6173990","2","71"
"72","tt6129302","2","72"
"73","tt7581902","2","73"
"74","tt8202612","2","74"
"75","tt7431594","2","75"
"76","tt0809504","0","76"
"77","tt1647668","0","77"
"78","tt3044882","2","78"
"79","tt2350496","2","79"
"80","tt6148156","6","80"
"81","tt6206564","2","81"
"82","tt6826438","2","82"
"83","tt2082197","2","83"
"84","tt0051383","0","84"
"85","tt3224288","2","85"
"86","tt3148502","2","86"
"87","tt7180544","2","87"
"88","tt0361411","0","88"
"89","tt7638344","2","89"
"90","tt5690142","2","90"
"91","tt0087892","0","91"
"92","tt7881542","2","92"
"93","tt0248126","2","93"
"94","tt4635372","2","94"
"95","tt4977530","7","95"
"96","tt8011276","2","96"
"97","tt4699202","2","97"
"98","tt5946128","2","98"
"99","tt6484982","2","99"
"100","tt6774212","2","100"
"101","tt0093603","6","101"
"102","tt6514196","2","102"
"103","tt7363076","2","103"
"104","tt4110568","2","104"
"105","tt7700730","2","105"
"106","tt4934950","2","106"
"107","tt2181831","2","107"
"108","tt3405236","2","108"
"109","tt1821480","2","109"
"110","tt3418424","0","110"
"111","tt2574698","2","111"
"112","tt0115641","0","112"
"113","tt3863552","2","113"
"114","tt3043252","2","114"
