"index","MID","LID","ID"
"0","tt2388771","0.0","0"
"1","tt5164214","1.0","1"
"2","tt1365519","2.0","2"
"3","tt0848228","3.0","3"
"4","tt8239946","","4"
"5","tt7027278","","5"
"6","tt3498820","4.0","6"
"7","tt8108198","","7"
"8","tt3741834","5.0","8"
"9","tt6747420","","9"
"10","tt1981128","6.0","10"
"11","tt1010048","7.0","11"
"12","tt1190080","8.0","12"
"13","tt3726012","","13"
"14","tt0075860","9.0","14"
"15","tt6923462","","15"
"16","tt0454876","10.0","16"
"17","tt1606378","11.0","17"
"18","tt2120120","12.0","18"
"19","tt8108202","13.0","19"
"20","tt5970844","14.0","20"
"21","tt7725596","","21"
"22","tt5461944","15.0","22"
"23","tt0838221","7.0","23"
"24","tt8426854","16.0","24"
"25","tt0286499","17.0","25"
"26","tt5074352","18.0","26"
"27","tt5474036","","27"
"28","tt0043456","19.0","28"
"29","tt1098327","20.0","29"
"30","tt8396128","","30"
"31","tt2884206","21.0","31"
"32","tt0366551","22.0","32"
"33","tt1187043","23.0","33"
"34","tt0986264","24.0","34"
"35","tt3735246","7.0","35"
"36","tt2338151","25.0","36"
"37","tt2980648","26.0","37"
"38","tt1954470","27.0","38"
"39","tt0120102","28.0","39"
"40","tt0086034","29.0","40"
"41","tt0109424","30.0","41"
"42","tt6452574","","42"
"43","tt5816682","31.0","43"
"44","tt7919680","","44"
"45","tt8852558","","45"
"46","tt7218518","32.0","46"
"47","tt3004774","33.0","47"
"48","tt1166100","34.0","48"
"49","tt1412386","35.0","49"
"50","tt0327437","36.0","50"
"51","tt0116409","37.0","51"
"52","tt5935704","","52"
"53","tt7098658","","53"
"54","tt6967980","","54"
"55","tt0169102","38.0","55"
"56","tt8439854","39.0","56"
"57","tt1188996","40.0","57"
"58","tt3823392","16.0","58"
"59","tt7720922","41.0","59"
"60","tt7820846","","60"
"61","tt1285241","42.0","61"
"62","tt0405508","43.0","62"
"63","tt7853242","","63"
"64","tt2882328","44.0","64"
"65","tt2631186","45.0","65"
"66","tt0066763","44.0","66"
"67","tt4849438","46.0","67"
"68","tt7147540","7.0","68"
"69","tt7526836","","69"
"70","tt0808357","6.0","70"
"71","tt6173990","47.0","71"
"72","tt6129302","16.0","72"
"73","tt7581902","","73"
"74","tt8202612","7.0","74"
"75","tt7431594","44.0","75"
"76","tt0809504","48.0","76"
"77","tt1647668","7.0","77"
"78","tt3044882","7.0","78"
"79","tt2350496","44.0","79"
"80","tt6148156","","80"
"81","tt6206564","","81"
"82","tt6826438","7.0","82"
"83","tt2082197","49.0","83"
"84","tt0051383","50.0","84"
"85","tt3224288","51.0","85"
"86","tt3148502","52.0","86"
"87","tt7180544","53.0","87"
"88","tt0361411","54.0","88"
"89","tt7638344","55.0","89"
"90","tt5690142","","90"
"91","tt0087892","56.0","91"
"92","tt7881542","","92"
"93","tt0248126","57.0","93"
"94","tt4635372","","94"
"95","tt4977530","58.0","95"
"96","tt8011276","","96"
"97","tt4699202","","97"
"98","tt5946128","","98"
"99","tt6484982","59.0","99"
"100","tt6774212","60.0","100"
"101","tt0093603","","101"
"102","tt6514196","","102"
"103","tt7363076","61.0","103"
"104","tt4110568","62.0","104"
"105","tt7700730","","105"
"106","tt4934950","","106"
"107","tt2181831","44.0","107"
"108","tt3405236","","108"
"109","tt1821480","63.0","109"
"110","tt3418424","64.0","110"
"111","tt2574698","63.0","111"
"112","tt0115641","","112"
"113","tt3863552","","113"
"114","tt3043252","44.0","114"
"115","tt4129428","","115"
"116","tt1849718","","116"
"117","tt3001638","","117"
"118","tt4434004","54.0","118"
"119","tt7469726","","119"
"120","tt0891592","65.0","120"
"121","tt0375611","66.0","121"
"122","tt7690638","67.0","122"
"123","tt5662932","","123"
"124","tt0432637","68.0","124"
"125","tt4387040","69.0","125"
"126","tt0238936","70.0","126"
"127","tt6692354","","127"
"128","tt4559006","71.0","128"
"129","tt6972140","","129"
"130","tt5571734","72.0","130"
"131","tt2436516","","131"
"132","tt4430212","","132"
"133","tt1185420","73.0","133"
"134","tt0367495","","134"
"135","tt5842616","74.0","135"
"136","tt6071752","75.0","136"
"137","tt1833673","76.0","137"
"138","tt6108090","","138"
"139","tt1280558","16.0","139"
"140","tt2215477","77.0","140"
"141","tt2408040","74.0","141"
"142","tt4832640","78.0","142"
"143","tt5785170","79.0","143"
"144","tt7981260","","144"
"145","tt0112870","80.0","145"
"146","tt1327035","81.0","146"
"147","tt7618184","","147"
"148","tt0457655","82.0","148"
"149","tt5956100","83.0","149"
"150","tt0347304","84.0","150"
"151","tt4900716","85.0","151"
"152","tt8136908","74.0","152"
"153","tt5460276","","153"
"154","tt3771536","86.0","154"
"155","tt4535650","16.0","155"
"156","tt0265343","7.0","156"
"157","tt5542802","87.0","157"
"158","tt1787988","88.0","158"
"159","tt3678782","","159"
"160","tt3702652","16.0","160"
"161","tt1839596","89.0","161"
"162","tt1024943","34.0","162"
"163","tt0172684","90.0","163"
"164","tt1093370","91.0","164"
"165","tt4814290","63.0","165"
"166","tt5997666","89.0","166"
"167","tt3390572","92.0","167"
"168","tt1321869","93.0","168"
"169","tt5882970","94.0","169"
"170","tt7275232","95.0","170"
"171","tt0420332","","171"
"172","tt1934231","","172"
"173","tt3767372","63.0","173"
"174","tt0449994","96.0","174"
"175","tt5613834","16.0","175"
"176","tt1562871","97.0","176"
"177","tt6485666","98.0","177"
"178","tt6588966","39.0","178"
"179","tt1562872","99.0","179"
"180","tt1182937","54.0","180"
"181","tt3679060","","181"
"182","tt1620933","","182"
"183","tt7399470","","183"
"184","tt2213054","100.0","184"
"185","tt2178470","101.0","185"
"186","tt5255710","","186"
"187","tt3541262","","187"
"188","tt0367110","102.0","188"
"189","tt6102396","","189"
"190","tt6170954","103.0","190"
"191","tt2176013","104.0","191"
"192","tt6580564","","192"
"193","tt1974382","105.0","193"
"194","tt6843812","106.0","194"
"195","tt7607940","107.0","195"
"196","tt0073707","23.0","196"
"197","tt6978268","71.0","197"
"198","tt7412738","","198"
"199","tt0031580","108.0","199"
"200","tt8055888","","200"
"201","tt7329858","","201"
"202","tt0871510","109.0","202"
"203","tt3322420","110.0","203"
"204","tt2112124","111.0","204"
"205","tt0400234","44.0","205"
"206","tt1275863","71.0","206"
"207","tt3447364","","207"
"208","tt0441048","44.0","208"
"209","tt0433416","112.0","209"
"210","tt5050788","","210"
"211","tt4399594","113.0","211"
"212","tt5474042","74.0","212"
"213","tt8458202","","213"
"214","tt2361746","","214"
"215","tt6971752","","215"
"216","tt0280720","114.0","216"
"217","tt5197544","","217"
"218","tt5325684","71.0","218"
"219","tt0374887","44.0","219"
"220","tt3848892","115.0","220"
"221","tt2557256","6.0","221"
"222","tt7471004","","222"
"223","tt0213890","71.0","223"
"224","tt3469244","116.0","224"
"225","tt5745450","117.0","225"
"226","tt5518128","","226"
"227","tt6514010","","227"
"228","tt3614516","","228"
"229","tt2150177","118.0","229"
"230","tt3542028","","230"
"231","tt0096028","44.0","231"
"232","tt5071886","119.0","232"
"233","tt5764096","","233"
"234","tt0479751","120.0","234"
"235","tt0466460","115.0","235"
"236","tt0379370","","236"
"237","tt2377938","44.0","237"
"238","tt0964516","121.0","238"
"239","tt1029231","","239"
"240","tt7162758","","240"
"241","tt1292703","74.0","241"
"242","tt3495026","122.0","242"
"243","tt5358948","65.0","243"
"244","tt7609114","45.0","244"
"245","tt1926313","","245"
"246","tt5713232","123.0","246"
"247","tt2283748","","247"
"248","tt8338746","","248"
"249","tt5108476","62.0","249"
"250","tt1836987","35.0","250"
"251","tt1324059","44.0","251"
"252","tt1948150","124.0","252"
"253","tt0461936","125.0","253"
"254","tt2929690","7.0","254"
"255","tt1198101","126.0","255"
"256","tt3495030","","256"
"257","tt3554418","","257"
"258","tt3177332","","258"
"259","tt2203308","","259"
"260","tt1438298","124.0","260"
"261","tt0234000","7.0","261"
"262","tt2461132","127.0","262"
"263","tt0425326","7.0","263"
"264","tt3337550","","264"
"265","tt1629376","7.0","265"
"266","tt1261047","35.0","266"
"267","tt7384848","128.0","267"
"268","tt5918074","","268"
"269","tt2309987","","269"
"270","tt7722258","","270"
"271","tt2797242","","271"
"272","tt2172071","65.0","272"
"273","tt1806913","124.0","273"
"274","tt0292490","109.0","274"
"275","tt1773764","129.0","275"
"276","tt1734110","","276"
"277","tt4430136","","277"
"278","tt6277440","","278"
"279","tt4909752","","279"
"280","tt2226666","130.0","280"
"281","tt3859980","131.0","281"
"282","tt8060624","","282"
"283","tt0422091","132.0","283"
"284","tt2016894","133.0","284"
"285","tt2979920","134.0","285"
"286","tt0347473","135.0","286"
"287","tt5121000","53.0","287"
"288","tt2317337","","288"
"289","tt5165344","136.0","289"
"290","tt2905838","133.0","290"
"291","tt0296574","137.0","291"
"292","tt5465370","16.0","292"
"293","tt0473367","39.0","293"
"294","tt6405126","4.0","294"
"295","tt4467262","","295"
"296","tt2976182","42.0","296"
"297","tt0488414","138.0","297"
"298","tt3709344","","298"
"299","tt2126282","139.0","299"
"300","tt2356180","140.0","300"
"301","tt0352314","","301"
"302","tt0499375","141.0","302"
"303","tt6272828","142.0","303"
"304","tt1185442","143.0","304"
"305","tt4232066","16.0","305"
"306","tt5456546","144.0","306"
"307","tt7617988","","307"
"308","tt0254481","145.0","308"
"309","tt4864932","","309"
"310","tt0242519","146.0","310"
"311","tt2635622","","311"
"312","tt0116630","7.0","312"
"313","tt1077248","124.0","313"
"314","tt5997928","147.0","314"
"315","tt1274295","148.0","315"
"316","tt6471054","","316"
"317","tt0164538","141.0","317"
"318","tt2372678","7.0","318"
"319","tt1049405","44.0","319"
"320","tt2855648","74.0","320"
"321","tt0449999","149.0","321"
"322","tt1954598","","322"
"323","tt2609218","","323"
"324","tt0222012","7.0","324"
"325","tt5286444","","325"
"326","tt0995740","","326"
"327","tt2359810","27.0","327"
"328","tt2229848","124.0","328"
"329","tt2168910","71.0","329"
"330","tt0272736","150.0","330"
"331","tt0439662","151.0","331"
"332","tt1375789","152.0","332"
"333","tt1639426","153.0","333"
"334","tt6299040","","334"
"335","tt4169250","153.0","335"
"336","tt1091229","154.0","336"
"337","tt1433810","34.0","337"
"338","tt5697870","","338"
"339","tt4940456","","339"
"340","tt0151150","155.0","340"
"341","tt5477608","63.0","341"
"342","tt7142506","","342"
"343","tt0376127","7.0","343"
"344","tt4276752","156.0","344"
"345","tt0117878","","345"
"346","tt5638500","157.0","346"
"347","tt0463345","158.0","347"
"348","tt6613812","","348"
"349","tt0114142","","349"
"350","tt4333674","","350"
"351","tt4865436","","351"
"352","tt5156746","87.0","352"
"353","tt0315642","44.0","353"
"354","tt2980794","92.0","354"
"355","tt0109117","34.0","355"
"356","tt1610452","159.0","356"
"357","tt0118983","160.0","357"
"358","tt0102258","161.0","358"
"359","tt4807830","162.0","359"
"360","tt3802576","16.0","360"
"361","tt5472758","54.0","361"
"362","tt1572311","34.0","362"
"363","tt5472374","63.0","363"
"364","tt4874298","163.0","364"
"365","tt1714832","115.0","365"
"366","tt0106333","164.0","366"
"367","tt3410408","7.0","367"
"368","tt2424988","165.0","368"
"369","tt3696192","166.0","369"
"370","tt2181931","1.0","370"
"371","tt5743656","","371"
"372","tt0346457","","372"
"373","tt2072227","","373"
"374","tt6143422","","374"
"375","tt6173826","144.0","375"
"376","tt0215132","111.0","376"
"377","tt4906960","58.0","377"
"378","tt0294662","167.0","378"
"379","tt1411956","168.0","379"
"380","tt1230165","44.0","380"
"381","tt1428459","169.0","381"
"382","tt3175038","124.0","382"
"383","tt3483712","7.0","383"
"384","tt1694542","35.0","384"
"385","tt8223250","","385"
"386","tt0100095","170.0","386"
"387","tt4552546","44.0","387"
"388","tt5742874","","388"
"389","tt0075143","171.0","389"
"390","tt4552486","172.0","390"
"391","tt0195231","44.0","391"
"392","tt7647198","16.0","392"
"393","tt5983262","","393"
"394","tt6265988","","394"
"395","tt1020937","","395"
"396","tt5982852","","396"
"397","tt0425055","1.0","397"
"398","tt2614722","7.0","398"
"399","tt2140465","","399"
"400","tt1043451","173.0","400"
"401","tt0451850","34.0","401"
"402","tt1580704","174.0","402"
"403","tt0052954","175.0","403"
"404","tt3679000","176.0","404"
"405","tt3483646","7.0","405"
"406","tt5178120","69.0","406"
"407","tt0066070","177.0","407"
"408","tt1266583","","408"
"409","tt6791730","","409"
"410","tt0758053","7.0","410"
"411","tt7695014","","411"
"412","tt4271730","","412"
"413","tt1985981","7.0","413"
"414","tt1291465","178.0","414"
"415","tt1244093","179.0","415"
"416","tt1836912","","416"
"417","tt4979082","178.0","417"
"418","tt2258337","180.0","418"
"419","tt1954206","180.0","419"
"420","tt1667838","7.0","420"
"421","tt3717068","44.0","421"
"422","tt0079221","16.0","422"
"423","tt4332114","7.0","423"
"424","tt0058547","138.0","424"
"425","tt8484590","","425"
"426","tt0800956","","426"
"427","tt0107311","44.0","427"
"428","tt2049630","74.0","428"
"429","tt2677064","","429"
"430","tt2476154","181.0","430"
"431","tt5235880","","431"
"432","tt0248185","45.0","432"
"433","tt1144804","66.0","433"
"434","tt2804026","","434"
"435","tt0795434","7.0","435"
"436","tt2309764","","436"
"437","tt5207116","","437"
"438","tt1949548","","438"
"439","tt4088588","25.0","439"
"440","tt0405507","182.0","440"
"441","tt3495000","","441"
"442","tt8581230","","442"
"443","tt3019620","115.0","443"
"444","tt0248617","183.0","444"
"445","tt6712014","","445"
"446","tt5943306","","446"
"447","tt5752374","","447"
"448","tt2187153","","448"
"449","tt0109206","7.0","449"
"450","tt0470869","7.0","450"
"451","tt0432047","184.0","451"
"452","tt0323013","185.0","452"
"453","tt1183946","","453"
"454","tt2198235","44.0","454"
"455","tt0150992","38.0","455"
"456","tt3742284","","456"
"457","tt8427036","39.0","457"
"458","tt1918886","81.0","458"
"459","tt1499201","103.0","459"
"460","tt6467738","","460"
"461","tt0330082","186.0","461"
"462","tt2699840","","462"
"463","tt3836958","71.0","463"
"464","tt1918965","34.0","464"
"465","tt6275262","101.0","465"
"466","tt3017412","","466"
"467","tt5764024","","467"
"468","tt3794302","","468"
"469","tt3209826","","469"
"470","tt4949324","","470"
"471","tt1101665","101.0","471"
"472","tt0403935","187.0","472"
"473","tt5290620","","473"
"474","tt2423132","","474"
"475","tt0220832","","475"
"476","tt4559046","188.0","476"
"477","tt5775220","","477"
"478","tt0249371","34.0","478"
"479","tt2372222","189.0","479"
"480","tt0382383","112.0","480"
"481","tt3142232","7.0","481"
"482","tt3678938","81.0","482"
"483","tt6926486","","483"
"484","tt8175968","","484"
"485","tt0240200","190.0","485"
"486","tt0303785","191.0","486"
"487","tt4990516","","487"
"488","tt8698956","","488"
"489","tt2224317","44.0","489"
"490","tt0806088","192.0","490"
"491","tt7172308","","491"
"492","tt6537508","193.0","492"
"493","tt1017456","194.0","493"
"494","tt8324474","","494"
"495","tt5020726","16.0","495"
"496","tt0346723","195.0","496"
"497","tt4979110","","497"
"498","tt1395054","196.0","498"
"499","tt0195002","197.0","499"
"500","tt1825801","","500"
"501","tt0139876","","501"
"502","tt5686868","","502"
"503","tt4022278","198.0","503"
"504","tt0248012","199.0","504"
"505","tt5005684","200.0","505"
"506","tt0356982","201.0","506"
"507","tt5227468","","507"
"508","tt0995031","202.0","508"
"509","tt3173910","","509"
"510","tt6711660","203.0","510"
"511","tt0498351","","511"
"512","tt3142688","124.0","512"
"513","tt0085743","","513"
"514","tt5954088","","514"
"515","tt0318275","","515"
"516","tt5502766","","516"
"517","tt0105271","","517"
"518","tt0109555","7.0","518"
"519","tt2246724","7.0","519"
"520","tt3483612","7.0","520"
"521","tt3415692","","521"
