"index","MID","PID","ID"
"0","tt2388771","nm0057655","0"
"1","tt2388771","nm0147080","1"
"2","tt2388771","nm0389414","2"
"3","tt2388771","nm0460141","3"
"4","tt2388771","nm0672248","4"
"5","tt5164214","nm1162642","5"
"6","tt5164214","nm0075732","6"
"7","tt5164214","nm1950147","7"
"8","tt5164214","nm0252382","8"
"9","tt5164214","nm6035700","9"
"10","tt5164214","nm3355596","10"
"11","tt5164214","nm0766851","11"
"12","tt5164214","nm0001752","12"
"13","tt5164214","nm0846333","13"
"14","tt1365519","nm0389414","14"
"15","tt1365519","nm1502100","15"
"16","tt1365519","nm0454752","16"
"17","tt1365519","nm0566590","17"
"18","tt1365519","nm1774736","18"
"19","tt0848228","nm0022285","19"
"20","tt0848228","nm0195669","20"
"21","tt0848228","nm0269463","21"
"22","tt0848228","nm0270559","22"
"23","tt0848228","nm2643957","23"
"24","tt0848228","nm1436246","24"
"25","tt0848228","nm0498278","25"
"26","tt0848228","nm0924357","26"
"27","tt8239946","nm6085622","27"
"28","tt8239946","nm2866111","28"
"29","tt8239946","nm1052445","29"
"30","tt8239946","nm1628153","30"
"31","tt8239946","nm2459088","31"
"32","tt8239946","nm9615093","32"
"33","tt8239946","nm8999500","33"
"34","tt8239946","nm4205110","34"
"35","tt8239946","nm2399862","35"
"36","tt8239946","nm9982635","36"
"37","tt8239946","nm3784276","37"
"38","tt8239946","nm3605710","38"
"39","tt8239946","nm3630374","39"
"40","tt8239946","nm9982636","40"
"41","tt7027278","nm1265258","41"
"42","tt7027278","nm9574599","42"
"43","tt7027278","nm7290802","43"
"44","tt7027278","nm3002114","44"
"45","tt7027278","nm0438461","45"
"46","tt7027278","nm6267036","46"
"47","tt7027278","nm1772718","47"
"48","tt7027278","nm2536882","48"
"49","tt7027278","nm2242248","49"
"50","tt7027278","nm5630832","50"
"51","tt7027278","nm3672846","51"
"52","tt7027278","nm2490706","52"
"53","tt7027278","nm0780098","53"
"54","tt7027278","nm4442630","54"
"55","tt3498820","nm0022285","55"
"56","tt3498820","nm0068416","56"
"57","tt3498820","nm2753152","57"
"58","tt3498820","nm0195669","58"
"59","tt3498820","nm0270559","59"
"60","tt3498820","nm2862529","60"
"61","tt3498820","nm0498278","61"
"62","tt3498820","nm0596572","62"
"63","tt3498820","nm5478123","63"
"64","tt3498820","nm2514395","64"
"65","tt3498820","nm1533289","65"
"66","tt3498820","nm0924357","66"
"67","tt3498820","nm0936040","67"
"68","tt3498820","nm1803681","68"
"69","tt8108198","nm3213121","69"
"70","tt8108198","nm5907916","70"
"71","tt8108198","nm10318287","71"
"72","tt8108198","nm2748655","72"
"73","tt8108198","nm6195926","73"
"74","tt8108198","nm9271591","74"
"75","tt8108198","nm1284257","75"
"76","tt8108198","nm2561870","76"
"77","tt8108198","nm3041247","77"
"78","tt3741834","nm2096617","78"
"79","tt3741834","nm2652108","79"
"80","tt3741834","nm5248016","80"
"81","tt3741834","nm0322047","81"
"82","tt3741834","nm7015727","82"
"83","tt3741834","nm5510396","83"
"84","tt3741834","nm1293998","84"
"85","tt3741834","nm0634782","85"
"86","tt3741834","nm0756383","86"
"87","tt3741834","nm0789248","87"
"88","tt3741834","nm0792431","88"
"89","tt3741834","nm1640700","89"
"90","tt3741834","nm0918424","90"
"91","tt3741834","nm0005544","91"
"92","tt6747420","nm9316645","92"
"93","tt6747420","nm0047999","93"
"94","tt6747420","nm2866990","94"
"95","tt6747420","nm3053738","95"
"96","tt6747420","nm5922801","96"
"97","tt6747420","nm6311995","97"
"98","tt6747420","nm1636742","98"
"99","tt1981128","nm1901333","99"
"100","tt1981128","nm0002041","100"
"101","tt1981128","nm1911103","101"
"102","tt1981128","nm0301382","102"
"103","tt1981128","nm1602154","103"
"104","tt1981128","nm1447370","104"
"105","tt1981128","nm0002738","105"
"106","tt1981128","nm1272673","106"
"107","tt1981128","nm0743059","107"
"108","tt1010048","nm1384503","108"
"109","tt1010048","nm0412246","109"
"110","tt1010048","nm1803361","110"
"111","tt1010048","nm0566831","111"
"112","tt1010048","nm0634782","112"
"113","tt1010048","nm0728619","113"
"114","tt1010048","nm0743882","114"
"115","tt1010048","nm0809531","115"
"116","tt1190080","nm0101684","116"
"117","tt1190080","nm0000386","117"
"118","tt1190080","nm0256498","118"
"119","tt1190080","nm0257159","119"
"120","tt1190080","nm0290581","120"
