"index","MID","title","year","rating","num_votes"
"0","tt2388771","Mowgli","2018","6.6","21967"
"1","tt5164214","Ocean's Eight","2018","6.2","110861"
"2","tt1365519","Tomb Raider","2018","6.4","142585"
"3","tt0848228","The Avengers","2012","8.1","1137529"
"4","tt8239946","Tumbbad","2018","8.5","7483"
"5","tt7027278","Kedarnath","2018","5.5","1970"
"6","tt3498820","Captain America: Civil War","2016","7.8","536641"
"7","tt8108198","Andhadhun","2018","9.0","18160"
"8","tt3741834","Lion","2016","8.1","170216"
"9","tt6747420","Rajma Chawal","2018","5.7","681"
"10","tt1981128","Geostorm","2017","5.3","72375"
"11","tt1010048","Slumdog Millionaire","2008","8.0","729879"
"12","tt1190080","2012","2009","5.8","320472"
"13","tt3726012","Mastizaade","2016","2.4","2205"
"14","tt0075860","Close Encounters of the Third Kind","1977","7.7","163278"
"15","tt6923462","Manto","2018","7.5","1457"
"16","tt0454876","Life of Pi","2012","7.9","518138"
"17","tt1606378","A Good Day to Die Hard","2013","5.3","184585"
"18","tt2120120","Pixels","2015","5.6","116089"
"19","tt8108202","Stree","2018","8.0","12996"
"20","tt5970844","Thugs of Hindostan","2018","3.6","11188"
"21","tt7725596","Badhaai Ho","2018","8.2","8418"
"22","tt5461944","Hotel Mumbai","2018","7.1","160"
"23","tt0838221","The Darjeeling Limited","2007","7.2","161266"
"24","tt8426854","Jalebi","2018","5.9","475"
"25","tt0286499","Bend It Like Beckham","2002","6.7","97876"
"26","tt5074352","Dangal","2016","8.5","111130"
"27","tt5474036","Manmarziyaan","2018","7.0","2770"
"28","tt0043456","The Day the Earth Stood Still","1951","7.8","71047"
"29","tt1098327","Dragonball Evolution","2009","2.6","64493"
"30","tt8396128","Pataakha","2018","7.3","1606"
"31","tt2884206","I Origins","2014","7.4","101213"
"32","tt0366551","Harold & Kumar Go to White Castle","2004","7.1","169683"
"33","tt1187043","3 Idiots","2009","8.4","287848"
"34","tt0986264","Taare Zameen Par","2007","8.4","133783"
"35","tt3735246","Bajirao Mastani","2015","7.2","27161"
"36","tt2338151","PK","2014","8.2","130977"
"37","tt2980648","The Hundred-Foot Journey","2014","7.3","66899"
"38","tt1954470","Gangs of Wasseypur","2012","8.2","66292"
"39","tt0120102","Seven Years in Tibet","1997","7.0","109930"
"40","tt0086034","Octopussy","1983","6.6","84600"
"41","tt0109424","Chung Hing sam lam","1994","8.1","50603"
"42","tt6452574","Sanju","2018","8.1","35436"
"43","tt5816682","Victoria & Abdul","2017","6.8","23051"
"44","tt7919680","Karwaan","2018","7.6","6333"
"45","tt8852558","Mitron","2018","7.1","1165"
"46","tt7218518","Padman","2018","8.1","12749"
"47","tt3004774","Tigers","2014","7.4","746"
"48","tt1166100","Ghajini","2008","7.3","49705"
"49","tt1412386","The Best Exotic Marigold Hotel","2011","7.3","84136"
"50","tt0327437","Around the World in 80 Days","2004","5.9","77402"
"51","tt0116409","The Ghost and the Darkness","1996","6.8","51491"
"52","tt5935704","Padmaavat","2018","7.0","20603"
"53","tt7098658","Raazi","2018","7.8","13771"
"54","tt6967980","Bareilly Ki Barfi","2017","7.5","10592"
"55","tt0169102","Lagaan: Once Upon a Time in India","2001","8.1","90179"
"56","tt8439854","Lust Stories","2018","6.6","6885"
"57","tt1188996","My Name Is Khan","2010","8.0","88262"
"58","tt3823392","Love Sonia","2018","7.2","275"
"59","tt7720922","Batti Gul Meter Chalu","2018","6.0","2370"
"60","tt7820846","Loveyatri","2018","2.9","1345"
"61","tt1285241","Don 2","2011","7.1","45291"
"62","tt0405508","Rang De Basanti","2006","8.2","97421"
"63","tt7853242","Love Per Square Foot","2018","7.2","4847"
"64","tt2882328","Ugly","2013","8.1","15869"
"65","tt2631186","Bahubali: The Beginning","2015","8.2","90115"
"66","tt0066763","Anand","1971","8.8","21616"
"67","tt4849438","Baahubali 2: The Conclusion","2017","8.3","61978"
"68","tt7147540","Sui Dhaaga: Made in India","2018","6.8","3171"
"69","tt7526836","FryDay","2018","5.9","376"
"70","tt0808357","Se, jie","2007","7.6","34025"
"71","tt6173990","Gold","2018","7.6","7678"
"72","tt6129302","Bhavesh Joshi Superhero","2018","7.6","3493"
"73","tt7581902","Sonu Ke Titu Ki Sweety","2018","7.2","13599"
"74","tt8202612","Satyameva Jayate","2018","5.8","4446"
"75","tt7431594","Race 3","2018","2.1","27282"
"76","tt0809504","The Accidental Husband","2008","5.6","21636"
"77","tt1647668","Million Dollar Arm","2014","7.0","40342"
"78","tt3044882","Nasha","2013","3.3","1000"
