"index","PID","Name","Gender"
"0","nm0000288","Christian Bale","Male"
"1","nm0000949","Cate Blanchett","Female"
"2","nm1212722","Benedict Cumberbatch","Male"
"3","nm0365140","Naomie Harris","Female"
"4","nm0785227","Andy Serkis","Male"
"5","nm0611932","Peter Mullan","Male"
"6","nm2930503","Jack Reynor","Male"
"7","nm0550371","Eddie Marsan","Male"
"8","nm0390903","Tom Hollander","Male"
"9","nm0722629","Matthew Rhys","Male"
"10","nm2951768","Freida Pinto","Female"
"11","nm4575116","Rohan Chand","Male"
"12","nm10302065","Keveshan Pillay","Male"
"13","nm6162831","Louis Ashbourne Serkis","Male"
"14","nm10302066","Moonsamy Narasigadu","Male"
"15","nm10302067","Soobrie Govender","Male"
"16","nm10302068","Gopal Singh","Male"
"17","nm10302069","Kista Munsami","Male"
"18","nm10302070","Mahomed Araf Cassim","Male"
"19","nm5151595","Riaz Mansoor","Male"
"20","nm10302071","Roshan Jayesh Patel","Male"
"21","nm10302072","T'khai Phillips","Male"
"22","nm10302073","Sachin Soni","Male"
"23","nm10302074","Hridhay Somera","Male"
"24","nm10302075","Ethaniel Jaden Moonsamy","Male"
"25","nm10302076","Gareth Ryan Benjamin","Male"
"26","nm10302077","Nirvayesh Chakravorty Thanendra","Male"
"27","nm10302078","Adiyan Ahmed Choudhury","Male"
"28","nm10302079","Amara Motala","Female"
"29","nm10302080","Diyara Prakash","Male"
"30","nm10302081","Diyajal Prakash","Male"
"31","nm0071007","John Benfield","Male"
"32","nm0324009","Patrick Godfrey","Male"
"33","nm0114132","Lorna Brown","Female"
"34","nm9028320","Jayden Fowora-Knight","Male"
"35","nm6751671","Georgie Farmer","Male"
"36","nm10302084","Kassius Carey-Johnson","Male"
"37","nm5334732","Josh Jefferies",""
"38","nm0000113","Sandra Bullock",""
"39","nm0001162","Griffin Dunne","Male"
"40","nm1129963","Deidre Goodwin","Female"
"41","nm4313350","Daniella Rabbani","Female"
"42","nm2343704","Brian J. Carter","Male"
"43","nm4067489","Gemma Forbes","Female"
"44","nm7094500","Katherine Hozier-Adams","Female"
"45","nm9876741","Freddy J. Davila","Male"
"46","nm7723029","Francesca Calo","Female"
"47","nm6377764","Midori Francis","Female"
"48","nm0001285","Elliott Gould","Male"
"49","nm0035514","Richard Armitage","Male"
"50","nm5016840","Charlotte Kirk","Female"
"51","nm0004266","Anne Hathaway","Female"
"52","nm7974263","Linda Atkinson","Female"
"53","nm4581341","Sas Goldberg","Female"
"54","nm3069619","Steven Hauck","Male"
"55","nm0316930","David Gibson","Male"
"56","nm2142128","Craig Waletzko","Male"
"57","nm0000307","Helena Bonham Carter","Female"
"58","nm2140223","Alexandre De Betak",""
"59","nm1411676","Mindy Kaling","Female"
"60","nm2029093","Naheed Khan","Female"
"61","nm1982597","Rihanna",""
"62","nm0266824","Dakota Fanning","Female"
"63","nm2222691","Whitney White","Female"
"64","nm5377144","Awkwafina","Female"
"65","nm5560794","Will Stephen",""
"66","nm0005299","Sarah Paulson","Female"
"67","nm8673146","Timothy Woods","Male"
"68","nm8404787","Talia Cuomo","Female"
"69","nm5960896","Charles Prendergast","Male"
"70","nm1767468","Richard Robichaux","Male"
"71","nm0086432","Alexander Blaise","Male"
"72","nm9129877","Asher Bailey","Male"
"73","nm0933096","Brian Anthony Wilson","Male"
"74","nm0949433","Damian Young","Male"
"75","nm1921376","Gideon Glick","Male"
"76","nm1159218","James Hindman","Male"
"77","nm9876743","Eaddy Kiernan","Female"
"78","nm0514539","David Little","Male"
"79","nm5832728","Liana Wright-Mark","Female"
"80","nm0061597","Christopher Batyr","Male"
"81","nm1028513","Clark Carmichael","Male"
"82","nm2591166","Nancy Lemenager","Female"
"83","nm2340833","Bianca LaVerne Jones","Female"
"84","nm0755968","McNally Sagal","Female"
"85","nm2790561","Caitlin Mehner","Female"
"86","nm0080866","James Biberi","Male"
"87","nm2787243","Migs Govea","Male"
"88","nm7134779","Nathanya Alexander","Female"
"89","nm1696005","Natasha Harper","Female"
"90","nm2751106","Shannon Freyer","Female"
"91","nm6886650","Grant Hyun",""
"92","nm6910039","Tatiana Spottiswoode","Female"
"93","nm8079180","Edward Barsamian","Male"
"94","nm1578005","Whit Anderson",""
"95","nm1331627","Conor Donovan","Male"
"96","nm6408859","Michael Gandolfini","Male"
"97","nm0452395","Jimmy Kieffer","Male"
"98","nm0114018","Kevin Brown","Male"
"99","nm0179479","James Corden",""
"100","nm0005486","Marlo Thomas","Female"
"101","nm0412374","Dana Ivey","Female"
"102","nm0933840","Mary Louise Wilson","Female"
"103","nm0039051","Elizabeth Ashley","Female"
"104","nm2339276","Simon Feil","Male"
"105","nm4343296","Suzanne Jaehne","Female"
"106","nm0946634","Doug Yasuda","Male"
"107","nm1134599","Robert G. McKay","Male"
"108","nm2958580","Soraya Butler","Female"
